Name;Email;Language;Course;Level
John Higgins;johnhiggins@gmail.com;English;Java;Advanced
Jane Foster;janefoster@gmail.com;English;Accountant;Beginner
Sharon Hodges;sharonhodges@gmail.com;English;SQL;Beginner
James Hall;jameshall@gmail.com;English;Python;Beginner
Edwin Cooper;edwincooper@gmail.com;English;Business;Advanced
Basil Malcom;basilmalcom@gmail.com;English;Accountant;Beginner
Ollie Elliott;ollieelliott@gmail.com;English;SQL;Beginner
Clara Fleming;clarafleming@gmail.com;English;C#;Advanced
Duncan Marshman;duncanmarshman@gmail.com;German;Java;Beginner
Rebecca Hardy;rebeccahardy@gmail.com;German;Business;Beginner
Tom Savage;tomsavage@gmail.com;English;Python;Advanced
Thea Ramos;thearamos@gmail.com;English;SQL;Beginner
Kate Ward;kateward@gmail.com;English;C#;Beginner
Addison Ballard;addisonballard@gmail.com;German;Accountant;Beginner
Laurence Oliver;laurenceoliver@gmail.com;English;C#;Advanced
Benedict Waters;benedictwaters@gmail.com;German;Python;Beginner
Priscilla Tucker;priscillatucker@gmail.com;German;C#;Beginner
Sydney Rice;sydneyrice@gmail.com;English;SQL;Advanced
Stephen Titterington;stephentitterington@gmail.com;English;Python;Beginner
Bond Lindsey;bondlindsey@gmail.com;German;Business;Beginner
Paul Conner;paulconner@gmail.com;English;Java;Beginner
Kevin Burgess;kevinburgess@gmail.com;German;Accountant;Beginner
